text,label
"You're a wank.",1
"You're a wetback.",1
"You're a wet dream.",1
"You're a white power.",1
"You're a whore.",1
"You're a worldsex.",1
"You're a wrapping men.",1
"You're a wrinkled starfish.",1
"You're a xx.",1
"You're a xxx.",1
"You're a yaoi.",1
"You're a yellow showers.",1
"You're a yiffy.",1
"You're a zoophilia.",1
"You're a 🖕.",1
"You're a aand.",1
"You're a aandu.",1
"You're a balatkar.",1
"You're a balatkari.",1
"You're a behen chod.",1
"You're a beti chod.",1
"You're a bhadva.",1
"You're a bhadve.",1
"You're a bhandve.",1
"You're a bhangi.",1
"You're a bhootni ke.",1
"You're a bhosad.",1
"You're a bhosadi ke.",1
"You're a boobe.",1
"You're a chakke.",1
"You're a chinaal.",1
"You're a chinki.",1
"You're a chod.",1
"You're a chodu.",1
"You're a chodu bhagat.",1
"You're a chooche.",1
"You're a choochi.",1
"You're a choope.",1
"You're a choot.",1
"You're a choot ke baal.",1
"You're a chootia.",1
"You're a chutiya.",1
"You're a chude.",1
"You're a chut.",1
"You're a chut ka chuha.",1
"You're a chut ka churan.",1
"You're a chut ka mail.",1
"You're a chut ke baal.",1
"You're a chut ke dhakkan.",1
"You're a chut maarli.",1
"You're a chutad.",1
"You're a chutadd.",1
"You're a chutan.",1
"You're a chutia.",1
"You're a chutiya.",1
"You're a gaand.",1
"You're a gaandfat.",1
"You're a gaandmasti.",1
"You're a gaandufad.",1
"You're a gandfattu.",1
"You're a gandu.",1
"You're a gashti.",1
"You're a gasti.",1
"You're a ghassa.",1
"You're a ghasti.",1
"You're a gucchi.",1
"You're a gucchu.",1
"You're a harami.",1
"You're a haramzade.",1
"You're a hawas.",1
"You're a hawas ke pujari.",1
"You're a hijda.",1
"You're a hijra.",1
"You're a jhant.",1
"You're a jhant chaatu.",1
"You're a jhant ka keeda.",1
"You're a jhant ke baal.",1
"You're a jhant ke pissu.",1
"You're a jhantu.",1
"You're a kamine.",1
"You're a kaminey.",1
"You're a kanjar.",1
"You're a kutta.",1
"You're a kutta kamina.",1
"You're a kutte ki aulad.",1
"You're a kutte ki jat.",1
"You're a kuttiya.",1
"You're a loda.",1
"You're a lodu.",1
"You're a lund.",1
"You're a lund choos.",1
"You're a lund ka bakkal.",1
"You're a lund khajoor.",1
"You're a lundtopi.",1
"You're a lundure.",1
"You're a maa ki chut.",1
"You're a maal.",1
"You're a madar chod.",1
"You're a madarchod.",1
"You're a madhavchod.",1
"You're a mooh mein le.",1
"You're a mutth.",1
"You're a mutthal.",1
"You're a najayaz.",1
"You're a najayaz aulaad.",1
"You're a najayaz paidaish.",1
"You're a paki.",1
"You're a pataka.",1
"You're a patakha.",1
"You're a raand.",1
"You're a randaap.",1
"You're a randi.",1
"You're a randi rona.",1
"You're a saala.",1
"You're a saala kutta.",1
"You're a saali kutti.",1
"You're a saali randi.",1
"You're a suar.",1
"You're a suar ke lund.",1
"You're a suar ki aulad.",1
"You're a tatte.",1
"You're a tatti.",1
"You're a teri maa ka bhosada.",1
"You're a teri maa ka boba chusu.",1
"You're a teri maa ki behenchod.",1
"You're a teri maa ki chut.",1
"You're a tharak.",1
"You're a tharki.",1
"You're a tu chuda.",1
